"","workerid","class","predicate","slide_number","response","language"
"1152",38,"dimension","narrow",14,0.05,"English"
"1153",38,"human","sad",15,0.01,"English"
"1154",38,"physical","solid",16,0.03,"English"
"1155",38,"dimension","large",17,0.05,"English"
"1156",38,"X","token",18,0.05,"English"
"1157",38,"dimension","open",19,0.07,"English"
"1158",38,"value","favorite",20,0.03,"English"
"1159",38,"value","plain",21,0.97,"English"
"1160",38,"location","overhead",22,0.06,"English"
"1161",38,"X","unique",23,0.05,"English"
"1162",38,"temporal","historical",24,0.04,"English"
"1163",38,"temporal","everyday",25,0.8,"English"
"1164",38,"physical","creamy",26,0.22,"English"
"1165",38,"color","blonde",27,0.74,"English"
"1166",38,"nationality","national",28,0.19,"English"
"1167",38,"location","closest",29,0.16,"English"
"1168",38,"nationality","Brazilian",30,0.17,"English"
"1169",38,"nationality","Vietnamese",31,0.94,"English"
"1170",38,"physical","spicy",32,0.25,"English"
"1171",39,"age","senior",3,0.08,"English"
"1172",39,"color","blonde",4,0.28,"English"
"1173",39,"physical","lacy",5,0.21,"English"
"1174",39,"value","lavish",6,0.66,"English"
"1175",39,"human","creative",7,0.84,"English"
"1176",39,"speed","speedy",8,0.45,"English"
"1177",39,"age","junior",9,0.08,"English"
"1178",39,"color","purple",10,0.06,"English"
"1179",39,"nationality","Vietnamese",11,0.22,"English"
"1180",39,"dimension","open",12,0.68,"English"
"1181",39,"human","playful",13,0.94,"English"
"1182",39,"dimension","narrow",14,0.31,"English"
"1183",39,"physical","creamy",15,0.26,"English"
"1184",39,"dimension","thick",16,0.43,"English"
"1185",39,"color","green",17,0.06,"English"
"1186",39,"speed","slow",18,0.33,"English"
"1187",39,"color","yellow",19,0.05,"English"
"1188",39,"location","overhead",20,0.08,"English"
"1189",39,"X","designated",21,0.17,"English"
"1190",39,"temporal","historical",22,0.12,"English"
"1191",39,"nationality","European",23,0.22,"English"
"1192",39,"speed","fast",24,0.34,"English"
"1193",39,"age","old",25,0.44,"English"
"1194",39,"shape","square",26,0,"English"
"1195",39,"value","favorite",27,0.89,"English"
"1196",39,"color","black",28,0,"English"
"1197",39,"value","prestigious",29,0.83,"English"
"1198",39,"value","plain",30,0.9,"English"
"1199",39,"human","entrepreneurial",31,0.9,"English"
"1200",39,"X","potential",32,0.92,"English"
"1201",40,"dimension","narrow",3,0.34,"english"
"1202",40,"shape","square",4,0.63,"english"
"1203",40,"X","last",5,0.02,"english"
"1204",40,"location","closest",6,0.24,"english"
"1205",40,"dimension","large",7,0.47,"english"
"1206",40,"physical","creamy",8,0.81,"english"
"1207",40,"X","designated",9,0.07,"english"
"1208",40,"nationality","Brazilian",10,0.02,"english"
"1209",40,"shape","circular",11,0.44,"english"
"1210",40,"human","civilized",12,0.8,"english"
"1211",40,"physical","sweet",13,0.69,"english"
"1212",40,"human","playful",14,0.86,"english"
"1213",40,"material","gold",15,0.23,"english"
"1214",40,"value","favorite",16,1,"english"
"1215",40,"physical","curly",17,0.49,"english"
"1216",40,"age","junior",18,0.3,"english"
"1217",40,"age","senior",19,0.23,"english"
"1218",40,"color","purple",20,0.19,"english"
"1219",40,"human","creative",21,0.84,"english"
"1220",40,"nationality","national",22,0.26,"english"
"1221",40,"location","overhead",23,0.5,"english"
"1222",40,"color","black",24,0.19,"english"
"1223",40,"color","blue",25,0.13,"english"
"1224",40,"nationality","European",26,0.09,"english"
"1225",40,"value","pleasant",27,0.74,"english"
"1226",40,"physical","frozen",28,0.21,"english"
"1227",40,"dimension","open",29,0.62,"english"
"1228",40,"X","unique",30,0.86,"english"
"1229",40,"nationality","international",31,0.14,"english"
"1230",40,"value","strange",32,0.81,"english"
"1231",41,"physical","curly",3,0.61,"English"
"1232",41,"X","potential",4,0.56,"English"
"1233",41,"physical","creamy",5,0.71,"English"
"1234",41,"X","individual",6,0.5,"English"
"1235",41,"nationality","Brazilian",7,0.11,"English"
"1236",41,"age","young",8,0.69,"English"
"1237",41,"human","sad",9,0.57,"English"
"1238",41,"X","different",10,0.59,"English"
"1239",41,"temporal","daily",11,0.04,"English"
"1240",41,"dimension","thin",12,0.63,"English"
"1241",41,"value","exciting",13,0.88,"English"
"1242",41,"color","blue",14,0.23,"English"
"1243",41,"human","selfish",15,0.71,"English"
"1244",41,"value","strange",16,0.89,"English"
"1245",41,"dimension","narrow",17,0.64,"English"
"1246",41,"material","crocheted",18,0.02,"English"
"1247",41,"nationality","Japanese",19,0.03,"English"
"1248",41,"value","plain",20,0.68,"English"
"1249",41,"location","internal",21,0.54,"English"
"1250",41,"material","wooden",22,0.12,"English"
"1251",41,"color","green",23,0.07,"English"
"1252",41,"speed","slow",24,0.71,"English"
"1253",41,"X","token",25,0.58,"English"
"1254",41,"speed","speedy",26,0.71,"English"
"1255",41,"dimension","long",27,0.75,"English"
"1256",41,"physical","lacy",28,0.12,"English"
"1257",41,"value","best",29,0.91,"English"
"1258",41,"physical","solid",30,0.66,"English"
"1259",41,"nationality","European",31,0,"English"
"1260",41,"dimension","large",32,0.69,"English"
"1261",42,"physical","lacy",3,0.23,"English"
"1262",42,"temporal","historical",4,0.39,"English"
"1263",42,"physical","creamy",5,0.11,"English"
"1264",42,"human","selfish",6,1,"English"
"1265",42,"color","white",7,0,"English"
"1266",42,"dimension","large",8,0.15,"English"
"1267",42,"color","blue",9,0,"English"
"1268",42,"human","strict",10,0.94,"English"
"1269",42,"value","prestigious",11,0.98,"English"
"1270",42,"location","overhead",12,0.41,"English"
"1271",42,"dimension","biggest",13,0.41,"English"
"1272",42,"dimension","thin",14,0.35,"English"
"1273",42,"speed","speedy",15,0.38,"English"
"1274",42,"shape","circular",16,0.12,"English"
"1275",42,"color","black",17,0.01,"English"
"1276",42,"nationality","Vietnamese",18,0,"English"
"1277",42,"nationality","English",19,0.1,"English"
"1278",42,"age","new",20,0.58,"English"
"1279",42,"material","crocheted",21,0.04,"English"
"1280",42,"material","wooden",22,0.02,"English"
"1281",42,"X","individual",23,0.6,"English"
"1282",42,"X","mixed",24,0.52,"English"
"1283",42,"nationality","European",25,0.05,"English"
"1284",42,"speed","fast",26,0.17,"English"
"1285",42,"material","gold",27,0,"English"
"1286",42,"X","different",28,0.91,"English"
"1287",42,"physical","sweet",29,0.58,"English"
"1288",42,"dimension","long",30,0.26,"English"
"1289",42,"value","favorite",31,1,"English"
"1290",42,"human","entrepreneurial",32,0.75,"English"
"1291",43,"dimension","open",3,0.04,"English"
"1292",43,"physical","solid",4,0.87,"English"
"1293",43,"dimension","thick",5,0.59,"English"
"1294",43,"human","strict",6,0.5,"English"
"1295",43,"value","plain",7,0.24,"English"
"1296",43,"nationality","Japanese",8,0.79,"English"
"1297",43,"human","playful",9,0.23,"English"
"1298",43,"value","prestigious",10,0.5,"English"
"1299",43,"value","exciting",11,0.25,"English"
"1300",43,"human","professional",12,0.66,"English"
"1301",43,"physical","curly",13,0.5,"English"
"1302",43,"dimension","narrow",14,0.27,"English"
"1303",43,"color","blue",15,0.43,"English"
"1304",43,"nationality","Vietnamese",16,0.14,"English"
"1305",43,"location","closest",17,0.5,"English"
"1306",43,"temporal","everyday",18,0.69,"English"
"1307",43,"X","designated",19,0.32,"English"
"1308",43,"X","last",20,0.73,"English"
"1309",43,"dimension","long",21,0.27,"English"
"1310",43,"X","mixed",22,0.53,"English"
"1311",43,"color","white",23,0.64,"English"
"1312",43,"location","internal",24,0.39,"English"
"1313",43,"human","creative",25,0.51,"English"
"1314",43,"human","selfish",26,0.19,"English"
"1315",43,"value","favorite",27,0.74,"English"
"1316",43,"nationality","national",28,0.5,"English"
"1317",43,"nationality","international",29,0.29,"English"
"1318",43,"age","junior",30,0.47,"English"
"1319",43,"color","red",31,0.53,"English"
"1320",43,"X","token",32,0.19,"English"
"1321",44,"temporal","historical",3,0.27,"English"
"1322",44,"nationality","international",4,0.08,"English"
"1323",44,"physical","creamy",5,0.64,"English"
"1324",44,"value","plain",6,0.78,"English"
"1325",44,"age","old-time",7,0.5,"English"
"1326",44,"physical","frozen",8,0.01,"English"
"1327",44,"color","green",9,0,"English"
"1328",44,"dimension","large",10,0.61,"English"
"1329",44,"physical","curly",11,0.34,"English"
"1330",44,"value","exciting",12,1,"English"
"1331",44,"location","overhead",13,0,"English"
"1332",44,"color","yellow",14,0,"English"
"1333",44,"human","selfish",15,0.73,"English"
"1334",44,"nationality","European",16,0.6,"English"
"1335",44,"material","wooden",17,0.23,"English"
"1336",44,"speed","fast",18,0.72,"English"
"1337",44,"human","entrepreneurial",19,0.15,"English"
"1338",44,"color","white",20,0,"English"
"1339",44,"age","senior",21,0.65,"English"
"1340",44,"physical","sweet",22,0.72,"English"
"1341",44,"color","blonde",23,0.19,"English"
"1342",44,"physical","smooth",24,0.1,"English"
"1343",44,"dimension","mini",25,0.72,"English"
"1344",44,"human","creative",26,0.79,"English"
"1345",44,"physical","lacy",27,0.12,"English"
"1346",44,"human","strict",28,0.73,"English"
"1347",44,"nationality","English",29,0.11,"English"
"1348",44,"human","civilized",30,0.81,"English"
"1349",44,"material","corduroy",31,0,"English"
"1350",44,"X","last",32,0,"English"
"1351",45,"location","internal",3,0.84,"ENGLISH"
"1352",45,"X","mixed",4,0.72,"ENGLISH"
"1353",45,"shape","circular",5,0.52,"ENGLISH"
"1354",45,"age","old",6,0.34,"ENGLISH"
"1355",45,"color","blonde",7,0.21,"ENGLISH"
"1356",45,"value","best",8,0.76,"ENGLISH"
"1357",45,"value","favorite",9,0.69,"ENGLISH"
"1358",45,"physical","curly",10,0.38,"ENGLISH"
"1359",45,"nationality","English",11,0.77,"ENGLISH"
"1360",45,"temporal","daily",12,0.67,"ENGLISH"
"1361",45,"X","potential",13,0.49,"ENGLISH"
"1362",45,"value","prestigious",14,0.72,"ENGLISH"
"1363",45,"dimension","large",15,0.7,"ENGLISH"
"1364",45,"X","individual",16,0.8,"ENGLISH"
"1365",45,"physical","lacy",17,0.74,"ENGLISH"
"1366",45,"material","corduroy",18,0.56,"ENGLISH"
"1367",45,"human","civilized",19,0.73,"ENGLISH"
"1368",45,"value","strange",20,0.66,"ENGLISH"
"1369",45,"human","professional",21,0.68,"ENGLISH"
"1370",45,"temporal","current",22,0.72,"ENGLISH"
"1371",45,"human","playful",23,0.68,"ENGLISH"
"1372",45,"color","purple",24,0.63,"ENGLISH"
"1373",45,"location","overhead",25,0.75,"ENGLISH"
"1374",45,"color","red",26,0.49,"ENGLISH"
"1375",45,"location","closest",27,0.48,"ENGLISH"
"1376",45,"dimension","biggest",28,0.49,"ENGLISH"
"1377",45,"speed","speedy",29,0.46,"ENGLISH"
"1378",45,"X","token",30,0.65,"ENGLISH"
"1379",45,"value","pleasant",31,0.63,"ENGLISH"
"1380",45,"shape","square",32,0.44,"ENGLISH"
"1381",46,"dimension","mini",3,0.91,"English"
"1382",46,"value","best",4,0.89,"English"
"1383",46,"temporal","daily",5,0,"English"
"1384",46,"value","plain",6,0.91,"English"
"1385",46,"color","yellow",7,0,"English"
"1386",46,"value","favorite",8,1,"English"
"1387",46,"value","pleasant",9,0.65,"English"
"1388",46,"material","wooden",10,0,"English"
"1389",46,"dimension","biggest",11,0,"English"
"1390",46,"value","strange",12,0.98,"English"
"1391",46,"human","entrepreneurial",13,0,"English"
"1392",46,"location","internal",14,0.11,"English"
"1393",46,"human","creative",15,0.72,"English"
"1394",46,"value","lavish",16,0.75,"English"
"1395",46,"speed","slow",17,0.1,"English"
"1396",46,"X","individual",18,0.33,"English"
"1397",46,"X","last",19,0,"English"
"1398",46,"nationality","Vietnamese",20,0,"English"
"1399",46,"speed","fast",21,0.01,"English"
"1400",46,"age","senior",22,0,"English"
"1401",46,"age","old-time",23,0.26,"English"
"1402",46,"human","strict",24,0.79,"English"
"1403",46,"age","junior",25,0.79,"English"
"1404",46,"color","blue",26,0,"English"
"1405",46,"physical","lacy",27,0.18,"English"
"1406",46,"age","young",28,0.6,"English"
"1407",46,"color","green",29,0,"English"
"1408",46,"location","closest",30,0,"English"
"1409",46,"speed","speedy",31,0.17,"English"
"1410",46,"material","gold",32,0,"English"
"1411",47,"temporal","current",3,0.79,"english"
"1412",47,"age","junior",4,0.68,"english"
"1413",47,"X","different",5,0.86,"english"
"1414",47,"dimension","long",6,0.55,"english"
"1415",47,"shape","circular",7,0.92,"english"
"1416",47,"dimension","biggest",8,0.72,"english"
"1417",47,"value","exciting",9,0.81,"english"
"1418",47,"physical","frozen",10,0.48,"english"
"1419",47,"human","strict",11,0.71,"english"
"1420",47,"physical","sweet",12,0.99,"english"
"1421",47,"physical","spicy",13,0.83,"english"
"1422",47,"human","sad",14,0.58,"english"
"1423",47,"value","pleasant",15,0.75,"english"
"1424",47,"physical","lacy",16,0.81,"english"
"1425",47,"nationality","European",17,0.19,"english"
"1426",47,"age","old-time",18,0.42,"english"
"1427",47,"material","gold",19,0.37,"english"
"1428",47,"nationality","Hispanic",20,0.5,"english"
"1429",47,"X","unique",21,0.76,"english"
"1430",47,"human","professional",22,0.74,"english"
"1431",47,"location","closest",23,0.74,"english"
"1432",47,"speed","speedy",24,0.84,"english"
"1433",47,"value","plain",25,0.93,"english"
"1434",47,"physical","curly",26,0.73,"english"
"1435",47,"nationality","Japanese",27,0.34,"english"
"1436",47,"location","internal",28,0.55,"english"
"1437",47,"value","prestigious",29,0.86,"english"
"1438",47,"human","playful",30,0.65,"english"
"1439",47,"color","yellow",31,0.62,"english"
"1440",47,"location","overhead",32,0.69,"english"
"1441",48,"material","gold",3,0.24,"english"
"1442",48,"value","prestigious",4,0.13,"english"
"1443",48,"human","playful",5,0.55,"english"
"1444",48,"X","different",6,0.51,"english"
"1445",48,"dimension","thick",7,0.41,"english"
"1446",48,"location","internal",8,0.29,"english"
"1447",48,"value","lavish",9,0.34,"english"
"1448",48,"X","potential",10,0.56,"english"
"1449",48,"dimension","long",11,0.65,"english"
"1450",48,"X","token",12,0.47,"english"
"1451",48,"physical","frozen",13,0.1,"english"
"1452",48,"human","selfish",14,0.59,"english"
"1453",48,"age","new",15,0.34,"english"
"1454",48,"temporal","daily",16,0.04,"english"
"1455",48,"human","professional",17,0.36,"english"
"1456",48,"shape","circular",18,0.31,"english"
"1457",48,"age","old",19,0.41,"english"
"1458",48,"nationality","European",20,0.14,"english"
"1459",48,"age","junior",21,0.51,"english"
"1460",48,"human","civilized",22,0.56,"english"
"1461",48,"location","closest",23,0.71,"english"
"1462",48,"X","last",24,0.28,"english"
"1463",48,"color","white",25,0.17,"english"
"1464",48,"nationality","Brazilian",26,0.11,"english"
"1465",48,"age","young",27,0.52,"english"
"1466",48,"material","corduroy",28,0.34,"english"
"1467",48,"speed","slow",29,0.67,"english"
"1468",48,"nationality","national",30,0.24,"english"
"1469",48,"physical","curly",31,0.21,"english"
"1470",48,"color","green",32,0.04,"english"
"1471",49,"dimension","narrow",3,0.13,"English"
"1472",49,"X","individual",4,0,"English"
"1473",49,"material","corduroy",5,0,"English"
"1474",49,"human","selfish",6,0.29,"English"
"1475",49,"speed","speedy",7,0.36,"English"
"1476",49,"human","entrepreneurial",8,0.5,"English"
"1477",49,"age","junior",9,0.07,"English"
"1478",49,"nationality","Japanese",10,0,"English"
"1479",49,"human","civilized",11,0.6,"English"
"1480",49,"age","old",12,0.56,"English"
"1481",49,"human","creative",13,0.83,"English"
"1482",49,"X","designated",14,0.13,"English"
"1483",49,"human","professional",15,0.54,"English"
"1484",49,"age","young",16,0.22,"English"
"1485",49,"temporal","historical",17,0.07,"English"
"1486",49,"X","different",18,0.06,"English"
"1487",49,"age","senior",19,0.4,"English"
"1488",49,"dimension","mini",20,0.5,"English"
"1489",49,"location","closest",21,0,"English"
"1490",49,"nationality","English",22,0.07,"English"
"1491",49,"human","sad",23,0.67,"English"
"1492",49,"human","playful",24,0.63,"English"
"1493",49,"color","black",25,0,"English"
"1494",49,"value","prestigious",26,0.47,"English"
"1495",49,"age","old-time",27,0.35,"English"
"1496",49,"value","pleasant",28,0.84,"English"
"1497",49,"nationality","Vietnamese",29,0,"English"
"1498",49,"color","yellow",30,0,"English"
"1499",49,"X","token",31,0.59,"English"
"1500",49,"physical","spicy",32,0.43,"English"
"1501",50,"speed","fast",3,0.63,"english"
"1502",50,"physical","lacy",4,0.2,"english"
"1503",50,"age","young",5,0.45,"english"
"1504",50,"material","wooden",6,1,"english"
"1505",50,"location","internal",7,0.66,"english"
"1506",50,"color","yellow",8,0.94,"english"
"1507",50,"speed","speedy",9,0.36,"english"
"1508",50,"age","old-time",10,0.49,"english"
"1509",50,"color","green",11,0,"english"
"1510",50,"human","playful",12,0.8,"english"
"1511",50,"physical","sweet",13,0.86,"english"
"1512",50,"location","closest",14,1,"english"
"1513",50,"human","entrepreneurial",15,0.32,"english"
"1514",50,"nationality","international",16,0.15,"english"
"1515",50,"age","junior",17,0.61,"english"
"1516",50,"value","lavish",18,0.13,"english"
"1517",50,"X","token",19,0,"english"
"1518",50,"dimension","biggest",20,1,"english"
"1519",50,"nationality","Vietnamese",21,0.73,"english"
"1520",50,"nationality","Japanese",22,0.73,"english"
"1521",50,"location","overhead",23,0.1,"english"
"1522",50,"nationality","European",24,0.18,"english"
"1523",50,"shape","square",25,0,"english"
"1524",50,"nationality","English",26,0.4,"english"
"1525",50,"X","individual",27,1,"english"
"1526",50,"temporal","daily",28,0,"english"
"1527",50,"human","professional",29,0,"english"
"1528",50,"value","best",30,1,"english"
"1529",50,"age","new",31,0,"english"
"1530",50,"physical","smooth",32,0.2,"english"
"1531",51,"age","new",3,0.16,"English"
"1532",51,"nationality","national",4,0.87,"English"
"1533",51,"nationality","English",5,1,"English"
"1534",51,"value","prestigious",6,0.16,"English"
"1535",51,"shape","square",7,0,"English"
"1536",51,"physical","lacy",8,0.27,"English"
"1537",51,"age","junior",9,0.09,"English"
"1538",51,"speed","slow",10,0.78,"English"
"1539",51,"material","wooden",11,0.05,"English"
"1540",51,"value","lavish",12,0.65,"English"
"1541",51,"speed","fast",13,0.77,"English"
"1542",51,"physical","frozen",14,0,"English"
"1543",51,"temporal","everyday",15,0.22,"English"
"1544",51,"temporal","daily",16,0,"English"
"1545",51,"location","overhead",17,0,"English"
"1546",51,"human","sad",18,1,"English"
"1547",51,"age","old",19,1,"English"
"1548",51,"human","selfish",20,0.99,"English"
"1549",51,"dimension","long",21,1,"English"
"1550",51,"X","potential",22,0.8,"English"
"1551",51,"material","gold",23,0,"English"
"1552",51,"value","favorite",24,0.93,"English"
"1553",51,"value","best",25,1,"English"
"1554",51,"value","exciting",26,1,"English"
"1555",51,"human","playful",27,1,"English"
"1556",51,"dimension","open",28,0.78,"English"
"1557",51,"human","creative",29,0.87,"English"
"1558",51,"X","different",30,0.36,"English"
"1559",51,"dimension","thin",31,0.39,"English"
"1560",51,"value","plain",32,0.65,"English"
"1561",52,"temporal","historical",3,0.51,"english"
"1562",52,"shape","square",4,0.65,"english"
"1563",52,"value","favorite",5,0.33,"english"
"1564",52,"location","overhead",6,0.33,"english"
"1565",52,"X","unique",7,0.35,"english"
"1566",52,"human","sad",8,0.41,"english"
"1567",52,"physical","lacy",9,0.41,"english"
"1568",52,"dimension","thin",10,0.43,"english"
"1569",52,"temporal","current",11,0.44,"english"
"1570",52,"nationality","Vietnamese",12,0.4,"english"
"1571",52,"human","selfish",13,0.6,"english"
"1572",52,"value","exciting",14,0.61,"english"
"1573",52,"age","senior",15,0.4,"english"
"1574",52,"color","purple",16,0.37,"english"
"1575",52,"color","blue",17,0.33,"english"
"1576",52,"speed","fast",18,0.74,"english"
"1577",52,"value","strange",19,0.69,"english"
"1578",52,"X","mixed",20,0.58,"english"
"1579",52,"X","token",21,0.59,"english"
"1580",52,"age","old-time",22,0.31,"english"
"1581",52,"physical","smooth",23,0.6,"english"
"1582",52,"nationality","English",24,0.18,"english"
"1583",52,"age","new",25,0.34,"english"
"1584",52,"human","playful",26,0.78,"english"
"1585",52,"material","gold",27,0.26,"english"
"1586",52,"value","lavish",28,0.69,"english"
"1587",52,"nationality","Brazilian",29,0.3,"english"
"1588",52,"human","civilized",30,0.5,"english"
"1589",52,"color","yellow",31,0.29,"english"
"1590",52,"age","junior",32,0.56,"english"
"1591",53,"color","blue",3,0.13,"English"
"1592",53,"human","creative",4,0.8,"English"
"1593",53,"dimension","open",5,0,"English"
"1594",53,"color","purple",6,0.11,"English"
"1595",53,"nationality","Brazilian",7,0.05,"English"
"1596",53,"nationality","English",8,0.26,"English"
"1597",53,"location","overhead",9,0,"English"
"1598",53,"nationality","Japanese",10,0.04,"English"
"1599",53,"physical","frozen",11,0,"English"
"1600",53,"nationality","national",12,0.08,"English"
"1601",53,"physical","lacy",13,0,"English"
"1602",53,"human","sad",14,0.56,"English"
"1603",53,"X","mixed",15,0.14,"English"
"1604",53,"value","plain",16,0.49,"English"
"1605",53,"temporal","everyday",17,0.54,"English"
"1606",53,"color","green",18,0.14,"English"
"1607",53,"human","civilized",19,0.33,"English"
"1608",53,"X","potential",20,0.87,"English"
"1609",53,"shape","circular",21,0.29,"English"
"1610",53,"X","unique",22,0.91,"English"
"1611",53,"location","internal",23,0,"English"
"1612",53,"location","closest",24,0,"English"
"1613",53,"dimension","biggest",25,0,"English"
"1614",53,"nationality","international",26,0.01,"English"
"1615",53,"nationality","European",27,0.13,"English"
"1616",53,"value","exciting",28,1,"English"
"1617",53,"X","individual",29,0.04,"English"
"1618",53,"physical","spicy",30,1,"English"
"1619",53,"value","pleasant",31,0.88,"English"
"1620",53,"dimension","thin",32,0.21,"English"
"1621",54,"speed","fast",3,0.85,"english"
"1622",54,"age","old-time",4,0.23,"english"
"1623",54,"nationality","national",5,0.21,"english"
"1624",54,"material","wooden",6,0.91,"english"
"1625",54,"nationality","Vietnamese",7,0.65,"english"
"1626",54,"temporal","historical",8,0.06,"english"
"1627",54,"X","unique",9,0.28,"english"
"1628",54,"material","gold",10,0.97,"english"
"1629",54,"human","entrepreneurial",11,0.94,"english"
"1630",54,"speed","slow",12,0.74,"english"
"1631",54,"value","pleasant",13,0.52,"english"
"1632",54,"value","exciting",14,0.48,"english"
"1633",54,"human","professional",15,0.75,"english"
"1634",54,"human","playful",16,0.75,"english"
"1635",54,"value","prestigious",17,0.69,"english"
"1636",54,"color","red",18,0.96,"english"
"1637",54,"dimension","open",19,0.25,"english"
"1638",54,"age","junior",20,0.5,"english"
"1639",54,"physical","smooth",21,0.93,"english"
"1640",54,"location","overhead",22,0.68,"english"
"1641",54,"color","blonde",23,0.97,"english"
"1642",54,"color","white",24,0.96,"english"
"1643",54,"X","potential",25,0.21,"english"
"1644",54,"human","selfish",26,0.28,"english"
"1645",54,"location","closest",27,0.26,"english"
"1646",54,"value","plain",28,0.13,"english"
"1647",54,"dimension","narrow",29,0.25,"english"
"1648",54,"nationality","Hispanic",30,0.99,"english"
"1649",54,"material","corduroy",31,0.96,"english"
"1650",54,"age","new",32,0.32,"english"
"1651",55,"X","different",3,0.89,"english"
"1652",55,"material","crocheted",4,0.52,"english"
"1653",55,"value","exciting",5,0.97,"english"
"1654",55,"age","senior",6,0.69,"english"
"1655",55,"X","unique",7,0.78,"english"
"1656",55,"nationality","Hispanic",8,0.07,"english"
"1657",55,"value","pleasant",9,0.92,"english"
"1658",55,"color","yellow",10,0.31,"english"
"1659",55,"nationality","Brazilian",11,0.06,"english"
"1660",55,"color","green",12,0.36,"english"
"1661",55,"human","strict",13,0.77,"english"
"1662",55,"material","corduroy",14,0.18,"english"
"1663",55,"location","internal",15,0.36,"english"
"1664",55,"age","young",16,0.81,"english"
"1665",55,"shape","square",17,0.23,"english"
"1666",55,"human","sad",18,0.87,"english"
"1667",55,"physical","solid",19,0.07,"english"
"1668",55,"nationality","Japanese",20,0.03,"english"
"1669",55,"color","blonde",21,0.44,"english"
"1670",55,"nationality","international",22,0.03,"english"
"1671",55,"human","civilized",23,0.56,"english"
"1672",55,"value","best",24,0.78,"english"
"1673",55,"age","old-time",25,0.81,"english"
"1674",55,"physical","creamy",26,0.27,"english"
"1675",55,"temporal","historical",27,0.23,"english"
"1676",55,"human","professional",28,0.18,"english"
"1677",55,"color","white",29,0.32,"english"
"1678",55,"nationality","English",30,0.13,"english"
"1679",55,"physical","frozen",31,0.09,"english"
"1680",55,"material","wooden",32,0.22,"english"
"1681",56,"value","prestigious",3,0.8,"English"
"1682",56,"human","creative",4,0.82,"English"
"1683",56,"age","old",5,0.98,"English"
"1684",56,"X","potential",6,0.7,"English"
"1685",56,"speed","speedy",7,0.8,"English"
"1686",56,"nationality","Vietnamese",8,0.98,"English"
"1687",56,"temporal","daily",9,0.98,"English"
"1688",56,"value","best",10,0.87,"English"
"1689",56,"X","different",11,0.41,"English"
"1690",56,"material","corduroy",12,0.92,"English"
"1691",56,"dimension","narrow",13,0.84,"English"
"1692",56,"shape","square",14,0.98,"English"
"1693",56,"nationality","Brazilian",15,0.98,"English"
"1694",56,"dimension","long",16,0.73,"English"
"1695",56,"dimension","thin",17,0.8,"English"
"1696",56,"dimension","large",18,0.87,"English"
"1697",56,"color","purple",19,0.97,"English"
"1698",56,"nationality","national",20,0.77,"English"
"1699",56,"nationality","Hispanic",21,0.98,"English"
"1700",56,"physical","spicy",22,0.9,"English"
"1701",56,"physical","curly",23,0.78,"English"
"1702",56,"physical","sweet",24,0.71,"English"
"1703",56,"value","exciting",25,0.64,"English"
"1704",56,"material","wooden",26,0.97,"English"
"1705",56,"dimension","mini",27,0.74,"English"
"1706",56,"physical","frozen",28,0.94,"English"
"1707",56,"value","strange",29,0.41,"English"
"1708",56,"speed","slow",30,0.5,"English"
"1709",56,"human","entrepreneurial",31,0.37,"English"
"1710",56,"color","red",32,0.98,"English"
"1711",57,"physical","smooth",3,0.53,"English"
"1712",57,"color","blonde",4,0.22,"English"
"1713",57,"nationality","Vietnamese",5,0.34,"English"
"1714",57,"dimension","large",6,0.36,"English"
"1715",57,"color","blue",7,0.16,"English"
"1716",57,"material","wooden",8,0.28,"English"
"1717",57,"X","token",9,0.6,"English"
"1718",57,"value","pleasant",10,0.64,"English"
"1719",57,"dimension","open",11,0.52,"English"
"1720",57,"location","overhead",12,0.52,"English"
"1721",57,"X","mixed",13,0.37,"English"
"1722",57,"value","favorite",14,0.66,"English"
"1723",57,"X","different",15,0.61,"English"
"1724",57,"X","last",16,0.32,"English"
"1725",57,"shape","circular",17,0.21,"English"
"1726",57,"temporal","current",18,0.44,"English"
"1727",57,"human","playful",19,0.75,"English"
"1728",57,"value","prestigious",20,0.62,"English"
"1729",57,"physical","lacy",21,0.18,"English"
"1730",57,"material","crocheted",22,0.1,"English"
"1731",57,"nationality","English",23,0.3,"English"
"1732",57,"value","lavish",24,0.64,"English"
"1733",57,"dimension","mini",25,0.54,"English"
"1734",57,"material","corduroy",26,0.14,"English"
"1735",57,"age","new",27,0.56,"English"
"1736",57,"nationality","international",28,0.34,"English"
"1737",57,"dimension","thin",29,0.43,"English"
"1738",57,"speed","fast",30,0.59,"English"
"1739",57,"nationality","Brazilian",31,0.38,"English"
"1740",57,"value","exciting",32,0.51,"English"
"1741",58,"nationality","Brazilian",3,0.07,"english"
"1742",58,"value","prestigious",4,0.68,"english"
"1743",58,"color","green",5,0.35,"english"
"1744",58,"dimension","mini",6,0.69,"english"
"1745",58,"X","individual",7,0.89,"english"
"1746",58,"value","favorite",8,0.98,"english"
"1747",58,"nationality","Vietnamese",9,0.05,"english"
"1748",58,"dimension","biggest",10,0.41,"english"
"1749",58,"X","token",11,0.01,"english"
"1750",58,"human","playful",12,0.75,"english"
"1751",58,"material","crocheted",13,0.04,"english"
"1752",58,"material","corduroy",14,0.13,"english"
"1753",58,"X","designated",15,0.41,"english"
"1754",58,"color","white",16,0.08,"english"
"1755",58,"age","old-time",17,0.7,"english"
"1756",58,"nationality","English",18,0.05,"english"
"1757",58,"color","blonde",19,0.46,"english"
